All device pins and their pinmux options
Pin,Name, Selected Mode, Used By,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
25,A10/C10,,,AIO230,,,,AIO230,,,,AIO230,,,,AIO230,,,HIC_BASESEL2
26,VSS,VSS
,VSS
27,VDD,VDD
,VDD
28,VDDIO,VDDIO,VDDIO
29,GPIO13,,,GPIO13,EPWM7_B,,,GPIO13,EQEP1_INDEX,,PMBUSA_ALERT,GPIO13,FSIRXA_CLK,LINB_RX,SPIA_SOMI,GPIO13,CANA_TX,HIC_D11,HIC_D5
30,GPIO12,,,GPIO12,EPWM7_A,,,GPIO12,EQEP1_STROBE,,PMBUSA_CTL,GPIO12,FSIRXA_D0,LINB_TX,SPIA_CLK,GPIO12,CANA_RX,HIC_D13,HIC_INT
31,GPIO11,,,GPIO11,EPWM6_B,,OUTPUTXBAR7,GPIO11,EQEP1_B,,SPIA_STE,GPIO11,FSIRXA_D1,LINB_RX,EQEP2_A,GPIO11,SPIA_SIMO,HIC_D6,HIC_NBE0
32,GPIO33,,,GPIO33,I2CA_SCL,,SPIB_STE,GPIO33,OUTPUTXBAR4,LINA_RX,,GPIO33,FSIRXA_CLK,CANA_RX,EQEP2_B,GPIO33,ADCSOCAO,,HIC_D0
33,GPIO16,,,GPIO16,SPIA_SIMO,,OUTPUTXBAR7,GPIO16,EPWM5_A,SCIA_TX,,GPIO16,EQEP1_STROBE,PMBUSA_SCL,XCLKOUT,GPIO16,EQEP2_B,SPIB_SOMI,HIC_D1
34,GPIO17,,,GPIO17,SPIA_SOMI,,OUTPUTXBAR8,GPIO17,EPWM5_B,SCIA_RX,,GPIO17,EQEP1_INDEX,PMBUSA_SDA,CANA_TX,GPIO17,,,HIC_D2
35,GPIO24,,,GPIO24,OUTPUTXBAR1,EQEP2_A,,GPIO24,,SPIB_SIMO,,GPIO24,LINB_TX,PMBUSA_SCL,SCIA_TX,GPIO24,ERRORSTS,,HIC_D3
36,TCK,TCK,TCK
37,GPIO37/TDO,,,GPIO37,OUTPUTXBAR2,,I2CA_SCL,GPIO37,SCIA_TX,CANA_TX,LINA_TX,GPIO37,EQEP1_B,PMBUSA_ALERT,,GPIO37,,HIC_NRDY,TDO
38,TMS,TMS,TMS
39,GPIO35/TDI,,,GPIO35,SCIA_RX,,I2CA_SDA,GPIO35,CANA_RX,PMBUSA_SCL,LINA_RX,GPIO35,EQEP1_A,PMBUSA_CTL,,GPIO35,,HIC_NWE,TDI
40,GPIO32,,,GPIO32,I2CA_SDA,,SPIB_CLK,GPIO32,,LINA_TX,,GPIO32,FSIRXA_D0,CANA_TX,,GPIO32,ADCSOCBO,,HIC_INT
41,GPIO18_X2,,,GPIO18,SPIA_CLK,,CANA_RX,GPIO18,EPWM6_A,I2CA_SCL,,GPIO18,EQEP2_A,PMBUSA_CTL,XCLKOUT,GPIO18,LINB_TX,,HIC_INT
42,GPIO19_X1,,,GPIO19,SPIA_STE,,CANA_TX,GPIO19,EPWM6_B,I2CA_SDA,,GPIO19,EQEP2_B,PMBUSA_ALERT,CLB_OUTPUTXBAR1,GPIO19,LINB_RX,,HIC_NBE0
43,VDDIO,VDDIO,VDDIO
44,VDD,VDD,VDD
45,VREGENZ/ VSS,VREGENZ/ VSS,VREGENZ/ VSS
46,GPIO39,,,GPIO39,,,,GPIO39,,,FSIRXA_CLK,GPIO39,EQEP2_INDEX,,CLB_OUTPUTXBAR2,GPIO39,SYNCOUT,EQEP1_INDEX,HIC_D7
47,GPIO8,,,GPIO8,EPWM5_A,,ADCSOCAO,GPIO8,EQEP1_STROBE,SCIA_TX,SPIA_SIMO,GPIO8,I2CA_SCL,FSITXA_D1,CLB_OUTPUTXBAR5,GPIO8,HIC_A0,,HIC_D8
48,GPIO4,,,GPIO4,EPWM3_A,,,GPIO4,OUTPUTXBAR3,CANA_TX,SPIB_CLK,GPIO4,EQEP2_STROBE,FSIRXA_CLK,CLB_OUTPUTXBAR6,GPIO4,HIC_BASESEL2,,HIC_NWE
49,GPIO3,,,GPIO3,EPWM2_B,OUTPUTXBAR2,,GPIO3,OUTPUTXBAR2,PMBUSA_SCL,SPIA_CLK,GPIO3,SCIA_RX,FSIRXA_D0,I2CB_SCL,GPIO3,HIC_NOE,CANA_RX,HIC_D4
50,GPIO2,,,GPIO2,EPWM2_A,EMU1,,GPIO2,OUTPUTXBAR1,PMBUSA_SDA,SPIA_SIMO,GPIO2,SCIA_TX,FSIRXA_D1,I2CB_SDA,GPIO2,HIC_A1,CANA_TX,HIC_D9
51,GPIO1,,,GPIO1,EPWM1_B,EMU0,,GPIO1,,I2CA_SCL,SPIA_SOMI,GPIO1,,,CLB_OUTPUTXBAR7,GPIO1,HIC_A2,,HIC_D10
52,GPIO0,,,GPIO0,EPWM1_A,,,GPIO0,,I2CA_SDA,SPIA_STE,GPIO0,FSIRXA_CLK,,CLB_OUTPUTXBAR8,GPIO0,,,HIC_BASESEL1
53,GPIO40,,,GPIO40,SPIB_SIMO,,EMU0,GPIO40,EPWM2_B,PMBUSA_SDA,FSIRXA_D0,GPIO40,,EQEP1_A,LINB_TX,GPIO40,,HIC_NBE1,HIC_D5
54,GPIO23,,,GPIO23,EQEP1_INDEX,,,GPIO23,,SPIB_STE,,GPIO23,LINA_RX,,LINB_RX,GPIO23,HIC_A3,EPWM4_B,HIC_D11
55,GPIO41,,,GPIO41,,,EMU1,GPIO41,EPWM2_A,PMBUSA_SCL,FSIRXA_D1,GPIO41,,EQEP1_B,LINB_RX,GPIO41,HIC_A4,SPIB_SOMI,HIC_D12
56,GPIO22,,,GPIO22,EQEP1_STROBE,,,GPIO22,,SPIB_CLK,,GPIO22,LINA_TX,CLB_OUTPUTXBAR1,LINB_TX,GPIO22,HIC_A5,EPWM4_A,HIC_D13
57,GPIO7,,,GPIO7,EPWM4_B,,OUTPUTXBAR5,GPIO7,EQEP1_B,,SPIB_SIMO,GPIO7,FSITXA_CLK,CLB_OUTPUTXBAR2,,GPIO7,HIC_A6,,HIC_D14
58,VSS,VSS
,VSS
59,VDD,VDD,VDD
60,VDDIO,VDDIO,VDDIO
61,GPIO5,,,GPIO5,EPWM3_B,,OUTPUTXBAR3,GPIO5,,CANA_RX,SPIA_STE,GPIO5,FSITXA_D1,CLB_OUTPUTXBAR5,,GPIO5,HIC_A7,HIC_D4,HIC_D15
62,GPIO9,,,GPIO9,EPWM5_B,,OUTPUTXBAR6,GPIO9,EQEP1_INDEX,SCIA_RX,SPIA_CLK,GPIO9,,FSITXA_D0,LINB_RX,GPIO9,HIC_BASESEL0,I2CB_SCL,HIC_NRDY
63,GPIO10,,,GPIO10,EPWM6_A,,ADCSOCBO,GPIO10,EQEP1_A,,SPIA_SOMI,GPIO10,I2CA_SDA,FSITXA_CLK,LINB_TX,GPIO10,HIC_NWE,,
64,GPIO6,,,GPIO6,EPWM4_A,OUTPUTXBAR4,SYNCOUT,GPIO6,EQEP1_A,,SPIB_SOMI,GPIO6,FSITXA_D0,,FSITXA_D1,GPIO6,HIC_NBE1,CLB_OUTPUTXBAR8,HIC_D14

